index,archetype,complexity,time,resources,story,goal,steps,what_to_say,how_to_identify,comm_intervention,gap_analysis,admin_fix,confidence
111,Solver,Medium,4-6 Weeks,"WhatsApp, Event Venue Plan, Volunteer Team","Lakshay took charge of the SolveCon Patiala coordination, starting with an ice-breaking activity to build a unified team. He managed video campaigns and on-ground logistics, ensuring that over a hundred participants felt connected to the mission from day one.",Successful execution of a large-scale civic event with 100% volunteer alignment.,"1. Build the 'Core Squad': Create a WhatsApp group and initiate a 'Meaning Maker' icebreaker. 2. Visual Hook: Share geo-tagged photos of the venue to build anticipation. 3. Video FAQ: Create short Instagram/WhatsApp status videos answering 'Where, When, and How' to act. 4. Roles: Assign specific stalls (SolverMela) to teams based on their interest.",To a potential volunteer: 'We are building a movement of solvers in Patiala. We need your leadership in managing the [Topic] stall. Here is the venue plan—tell us which zone you want to own.',"To find the best venue for a SolveCon, visit public universities (e.g., Punjabi University) and look for the 'Dean of Student Welfare' (DSW) office to request auditorium access.",No,1. Lack of defined volunteer roles in original. 2. Missing event-day logistics checklist. 3. No digital FAQ strategy.,Template: SolveCon Volunteer Role Matrix; Recipe: 3-Day Countdown Social Media Strategy.,5.0
112,Solver,Medium,3-4 Weeks,"AI Tools (Gemini/GPT), Event Hall, Presentation Deck","In a high-energy workshop, users were asked to stop thinking like humans and start ""Acting like an AI."" By assigning roles like meaning-maker and safety-checker, the students realized how prompt clarity dictates outcomes, leading to better civic data queries.","Train 50+ students in ""Prompt Engineering for Civic Good"" to improve local problem-reporting.","1. The AI Cap Ritual: Hand out physical caps or stickers to participants. 2. Role Play: Assign 5 roles (Prompt, Meaning, Language, Bias, Safety). 3. The Test: Give a vague local issue (e.g., 'dirty street') and have the 'AI' process it. 4. Refinement: Show how a specific prompt (e.g., 'Fix the blackspot at Doaba Chowk') changes the result.",To a student: 'Don't just say the street is dirty. Think like an AI: What is the exact location? What is the type of waste? Who is the official? High-quality prompts get high-quality fixes.',"To find free resources for AI literacy, visit the **Ministry of Electronics & IT (MeitY)** 'IndiaAI' portal or OpenAI's teacher guides.",No,1. No mention of specific AI limitations (hallucinations). 2. Lack of ethical-bias training. 3. Missing clear outcome-measurement for queries.,Recipe: The 5-Role AI Workshop Kit; Standard: UNESCO Recommendation on the Ethics of AI.,5.0
116,Solver,High,8-12 Weeks,"Miyawaki Method Guide, Vacant Plot Map, Local Nursery Contacts","Jalandhar has green spots, but many residential areas remain concrete heat-islands. These students identified vacant lots in Model Town and proposed converting them into urban forests using the Miyawaki method, aligning with the Nagar Van Yojana.",Convert at least 1 underutilized vacant lot into a high-density urban forest.,"1. The 'Concrete Audit': Identify vacant lots on NH1 or residential areas using Google Maps Satellite view. 2. Jurisdiction Check: Confirm if the plot is Municipal or Private property. 3. The Miyawaki Blueprint: Draft a 3-layer planting plan (Shrubs, Trees, Canopy). 4. Fundraiser: Launch a community 'Sponsor a Tree' campaign to cover sapling costs.","To the Municipal Commissioner: 'Under the **Nagar Van Yojana**, we have identified a vacant 500sqft lot for an urban forest. We have the community funding ready. We need your permission for the fencing.'","To find vacant government lots, visit the **Jalandhar Development Authority (JDA)** portal or look for plots marked with 'MCJ' boundaries.",Yes,Recipe: Miyawaki Urban Forest Costing Sheet; Standard: Nagar Van Yojana Guidelines.,5,
117,Reactor,High,12+ Weeks,"CPCB Sewage Report, Local NGO Network, Water Testing Kit","India generates 72,000 MLD of sewage, but only 28% is treated. In Punjab, these students noticed that while treatment capacity exists, many plants were non-operational. They advocated for decentralized treatment systems in rural areas where STPs are non-existent.",Secure a commitment for a decentralized sewage treatment system in a rural/under-served area.,1. The 'Black Water' Audit: Map where open drains from residential areas flow into local water bodies. 2. Capacity Check: Compare the 'Generated Sewage' vs. 'Treated Sewage' using the **CPCB Annual Inventory Report**. 3. Alternative Search: Proposed 'Constructed Wetlands' or decentralized systems that don't require heavy electricity. 4. Petition the DC: Submit a request to the District Collector for a pilot project.,"To the District Collector: 'Sir, our audit shows 70% of sewage in [Village] is reaching the groundwater untreated. We request a decentralized treatment pilot under the **Swachh Bharat Mission (Grameen) 2.0**.'","To find the sewage treatment status of your city, visit the **CPCB ENVIS** portal and search for 'Sewage Generation in India' reports.",Yes,Recipe: Decentralized Sewage System Blueprint; Standard: SBM-G 2.0 ODF+ Guidelines.,5,
119,Reactor,Low,1-2 Weeks,"Measuring Cylinder, Water Flow Rate Worksheet","The average Indian uses 135 liters of water per day. This student found that their household of 6 was using 140 LPCD, mostly wasted during bathing and utensil washing. They installed low-flow aerators and reduced consumption by 15% in two weeks.",Reduce household water consumption to below the national average of 135 LPCD.,"1. The Flow Rate Test: Hold a 1L bottle under your basin tap. Time how many seconds it takes to fill. (3.75 L/min is the target). 2. Tap Audit: Audit all 6 sources (Bathing, Flushing, Washing, etc.). 3. The Hardware Fix: Install 'Water Saving Aerators' from a local hardware shop. 4. Reuse: Channel RO-filter waste water into a bucket for cleaning the house.","To family members: 'We are using 5 liters more than the national average per person. If we switch to buckets instead of showers, we can save 300 liters daily.'","To find your water flow rate, look for the 'LPM' (liters per minute) rating engraved on the base of modern tap aerators.",No,1. No mention of greywater recycling. 2. Lack of specific plumbing standard names. 3. Missing seasonal variation (summer vs winter usage).,Recipe: Home Water Audit Calculator; Standard: IS 1172:1993 for Basic Water Demand.,5.0
121,Solver,Medium,4-8 Weeks,"SBM Dashboard, Ward Map, Local Feedback","Sanitation isn't just about building toilets; it's about ""Safely Managed Sanitation."" These students analyzed SBM progress from 2015 to 2022 and found that while rural areas grew by 25%, urban areas struggled. They pushed for better equitable access to WASH services in their local ward.","Audit the ""Safely Managed Sanitation"" status of your local urban ward.",1. The Data Dive: Access the **Swachh Bharat Mission (Urban)** dashboard and find your city's ranking. 2. The Verification: Check if public toilets in your ward are 'Functioning' vs 'Safely Managed' (connected to sewers). 3. The Gap Report: Record instances where basic sanitation is missing for marginalized groups. 4. Advocacy: Present the findings to the **Zonal Health Officer**.,"To the Health Officer: 'Sir, our ward has basic toilets, but they lack safely managed sewage disposal. Under **SBM-U 2.0 guidelines**, we request a plan for equitable WASH access in this block.'","To find your city's sanitation rank, search for the latest **'Swachh Survekshan'** report on the Ministry of Housing and Urban Affairs (MoHUA) website.",Yes,Recipe: SBM-U 2.0 Audit checklist; Standard: MoHUA Swachh Survekshan Guidelines.,5,
124,Reactor,Low,1 Week,"Cybercrime Portal, Digital Safety Checklist","Identity theft and phishing are the most common cybercrimes affecting youth. This student became a ""Cybercrime Awareness Champion"" by educating their peers on how to recognize digital dangers like phishing scams and online fraud, making their digital environment safer.",Educate 20+ peers on identifying and reporting common cyber threats.,"1. The Danger Decode: List the top 3 digital dangers (Phishing, Identity Theft, Cyberbullying). 2. The Reporting Path: Verify the **National Cyber Crime Reporting Portal** (cybercrime.gov.in). 3. The Awareness Status: Share a thought-provoking poll in your college groups about personal data safety. 4. Feedback Loop: Track how many users knew how to report a crime versus those who didn't.","To a friend: 'If you get a suspicious link, don't just delete it. Report it at **cybercrime.gov.in** so it can be blocked for everyone.'","Look for 'Secure' padlock icons and 'https://' in URLs; to find official cybercrime help, call the **National Helpline 1930**.",No,1. Lack of specific 1930 hotline mention. 2. Missing detail on 2FA (Two-Factor Authentication). 3. No guidance on preserving evidence (screenshots).,Recipe: The 1930 Cyber-Reporting Script; Standard: IT Act 2000 (Section 66).,5.0
127,Reactor,Low,1-2 Days,"Heatwave Safety Tips, Local Cooling Center List","As temperatures peaked in April 2024, Jalandhar faced severe heatwaves. This youth leader didn't just complain about the heat; they identifies primary causes like rapid urbanization and shared simple, life-saving tips on avoiding heatstroke and identifying ""Cooling Centres"" for vulnerable citizens.","Disseminate 3-5 life-saving ""Heat Action"" tips to vulnerable community members.","1. The Local Evidence: Cite local heatwave data from sources like **The Tribune** to prove the urgency. 2. The Tip List: Draft 5 tips (Hydration, Shade, Light Clothes, Sunscreen, Tree Planting). 3. The Institutional Demand: Ask the government to create officially marked 'Cooling Centres' in high-density markets. 4. Group Outreach: Share the tips in all community WhatsApp groups.","To a local shopkeeper: 'Sir, it's 45 degrees. Please ensure your workers have access to cold water and shade. Here are the heatstroke warning signs to look out for.'","To find your official **City Heat Action Plan (HAP)**, visit the **NDMA** portal or check your District Magistrate's office website.",Yes,Recipe: Heatstroke First-Aid Card; Standard: NDMA Heat Action Plan Guidelines.,5,
132,Solver,Medium,3-6 Weeks,"mSeva App/WhatsApp, Geo-tagged Photos, Road Audit Kit","In Jalandhar, students noticed massive potholes causing traffic jams near Model Town. Using the mSeva WhatsApp chatbot, they reported the specific location with GPS-tagged photos, turning a dangerous road into a city-level repair priority.",Successfully report and track a high-priority pothole to the Municipal Corporation.,"1. The Geo-Audit: Stand safely near the pothole and take a photo with GPS coordinates enabled on your camera. 2. The Chatbot Link: Search for the mSeva Punjab WhatsApp number (usually 87509-75971). 3. The Details: Send the photo, category (Roads/Potholes), and the exact Landmark. 4. Tracking: Save the 'Acknowledgement Number' and follow up if the status doesn't change in 7 days.","To the Official: 'Respected Sir, we have reported a hazardous pothole at [Location] via mSeva (Ticket ID: [X]). As a Core Team member, I am checking if this has been assigned to the Zonal Engineer for repair.'","To find your Zone Number, check the electricity bill for your area or look at the signboards on main roundabouts (e.g., Doaba Chowk).",Yes,Recipe: The mSeva Reporting Flowchart; Standard: IRC:SP:77 for Pothole Maintenance.,5,
136,Solver,High,12+ Weeks,"Registered Post, Municipal Letters, Cleaning Tools","The Devi Talab Mandir blackspot was cleaned multiple times by students, but it kept returning. They realized that ""Cleaning"" was only step one. They escalated to the Mayor's office, tracked the appointed ""Sanitary Inspector,"" and finally got the college and city to cement the area permanently.","Convert a returning blackspot into a permanent ""Clean Zone"" through infrastructure cementing.",1. The Letter Trail: Draft a letter to the Municipal Commissioner citing the SBM blackspot remediation policy. 2. The Legal Receipt: Send it via Registered AD to ensure an official record. 3. The SI Meet: Identify the Sanitary Inspector (SI) for your ward and follow up on their on-site inspection. 4. Hardware Fix: Request the city or a nearby institution to 'Cement' the area to prevent recurrence.,"To the Sanitary Inspector: 'Sir, we have cleaned this spot 4 times. It requires cementing to prevent legacy waste buildup. We have submitted a formal request to the Commissioner (Ref ID: [X]). Can we inspect the site today?'","To find the name of your specific Sanitary Inspector, visit the Municipal Corporation Health Department office and look for the 'Ward Allocation List' on the notice board.",Yes,Recipe: Blackspot Resolution Lifecycle; Standard: SWM Rules 2016.,5,
