Title,User_Story_x,Gap_Analysis_x,User_Story_y,Gap_Analysis_y,Admin_Fix_Summary,Admin_Fix_FullText,Admin_Fix_Source,Admin_Confidence_Score,Admin_Mentor_Needed
Campus Plastic File Replacement,"Complexity: High | Time: 3 Weeks | Resources: Peer surveys, student signatures, reused cardboard.

**The Story**
Vabek and Lakshay in Jalandhar noticed that their college required plastic files for every assignment, creating a lot of waste. They surveyed 45 friends and proved that paper and cardboard folders were actually cheaper (₹7) and just as good, successfully convincing their Head of Department (HOD) to change the rules for everyone.

**The Goal**
To replace plastic folders in your department with cheaper, eco-friendly alternatives.

**The Steps**
1. Ask your friends: Talk to 40–50 classmates. Ask if they want to save money by switching from plastic to paper. Write down the names of everyone who says ""Yes.""
2. Show it works: For your next homework, use a cardboard folder (you can even use an old delivery box). This shows your teacher that paper works just as well as plastic.
3. Get Support: Write a simple letter asking to use paper instead of plastic. Get at least 30 students to sign it to show that most people want this change.
4. Meeting the HOD: Set a time to talk to your Head of Department (HOD). Take your list of signatures and your notes on the cost (₹7 for paper vs. ₹15 for plastic).

**What to Say**
""Many students want to reduce plastic waste on campus. We have 33 signatures from people who want to switch to paper or digital folders, which are also much cheaper. Can we make this the official rule for our department?""

**Overcoming Problems**
* The Problem: A teacher might say paper folders don't look ""neat.""
* The Fix: Show them your own graded assignment in a paper folder to prove it looks professional and clean.
* Safety Tip: Always use the official college website or portals for digital work to keep your files safe.
* Persistence: Don't give up if they don't say yes immediately. Check back with the HOD every two weeks until the rules are updated.

**Success**
Secured 33 signatures and official approval from the HOD to change the departmental standards.","Specific Gap: Vabek and Lakshay surveyed 45 peers, but the actual survey questions/template used is missing. Fix: Create a standard 3-question survey template (cost, waste, willingness to switch).
Specific Gap: The structure of the proposal letter with 33 signatures is missing. Fix: Provide a fill-in-the-blanks ""Academic Proposal Letter"" draft.
Specific Gap: Vabek found a price of ₹7 for paper files, but a ""Market Research Checklist"" for other cities is missing. Fix: Add a ""Local Market Audit"" checklist to verify prices locally.
Specific Gap: The ""how-to"" for professional-grade scanning is missing. Fix: Provide a ""Perfect Scan Checklist"" (B&W High Contrast mode) for teacher-ready digital work.",...,...,Decentralized Waste Management & Composting SOP,"[TEMPLATE 1: WASTE AUDIT] Columns: Wet Waste (kg), Dry Waste (kg), Reject (kg). [TEMPLATE 2: COMPOST HEALTH LOG] Weekly check: Moisture (Sponge test), Temperature, Odor. [TEMPLATE 3: VENDOR DIRECTORY] Map 3 local Kabadiwalas for PET and Cardboard. [TEMPLATE 4: PETITION] To: Residents Association. Sub: Mandatory Segregation at Source.",SBM-Urban 2.0 / Swachh Bharat Mission Toolkit,5,No
Streetlight Safety Audit,"Complexity: Medium | Time: 1 Night | Resources: Audit tool, flashlight, neighborhood map.

**The Story**
A concerned citizen noticed broken streetlights made their neighborhood dark and unsafe. They spent one night walking the area and listing every broken light to show the government exactly where the problems were.

**The Goal**
To get broken streetlights fixed by giving the electricity department a clear list of locations.

**The Steps**
1. Walk the Area: Walk your neighborhood at night in pairs. Mark every broken streetlight on a map.
2. Take Pictures: Picture each dark spot and a landmark so the repair team can find it.
3. Make the Report: List the broken lights. If the pole has a number, write it down.
4. Meeting the Engineer: Visit the Ward Engineer or Electrical Department to share your list.

**What to Say**
""I have completed a check of our ward. We found several dark spots that are unsafe. Here is the list of broken lights/pole numbers. Can we get these fixed this week?""

**Overcoming Problems**
* The Problem: The office says they don't have staff to check the lights.
* The Fix: You have already done the check and have the list ready.
* Safety Tip: Perform nighttime audits in pairs only and wear reflective clothing.
* Persistence: Call again every 3 days until fixed.","Specific Gap: Exact data checklist (Pole ID, Status, Landmark) is missing. Fix: Provide a 1-page ""Night Audit Log"" template.
Specific Gap: Map-making process (List -> Visual Map) is not explained. Fix: Provide a ""How to Map Dark Spots"" guide using Google My Maps.",,,Official Municipal Grievance Format for Infrastructure outages.,"AUDIT FORM: [Fields: Date of Audit, Location/Street, Google Maps Coordinate, Pole # (fixed to pole base), Issue Type (Fused bulb, dangerous wiring, obstruction), Photo Ref ID, Safety Impact Note]. ESCALATION: Use City 311 App or Ward Assistant Engineer contact.",https://nnw.org/citizen-led-streetlight-audits (Community Best Practice),5,No
School Sanitation & Hygiene Audit,"Complexity: High | Time: 3 Days | Resources: Sanitation checklist, school access, student feedback.

**The Story**
A student leader realized girls were skipping school during periods because bathrooms lacked privacy/hygiene. They audited the facilities, found missing lights/dustbins/flushing systems, and successfully petitioned the Principal for hardware upgrades.

**The Goal**
To fix school bathrooms so every student feels safe and comfortable.

**The Steps**
1. The Check: Inspect every school bathroom for lights, flush, and dustbins.
2. Talk to Students: Ask what keeps them from using school toilets.
3. The Problem List: List broken/missing items for the Principal.
4. Meeting the Principal: Propose hardware fixes to improve student attendance.

**What to Say**
""We checked the bathrooms and found that missing lights/dustbins are affecting girl student attendance. Here is a list of what we need to improve hygiene and school health.""

**Overcoming Problems**
* The Problem: School only focuses on cleaning, not hardware.
* The Fix: Hardware like pedal-bins makes cleaning easier and keeps bathrooms tidy longer.
* Persistence: Check bathrooms every week with the student cabinet until items are installed.

**Success**
Identified hidden attendance barriers and secured hardware commitments.","Specific Gap: Hardware shopping list/budget for principal approval is missing. Fix: Provide a ""Sanitation Hardware Catalog"" with typical costs.
Specific Gap: Attendance link data evidence is missing. Fix: Provide a ""Sanitation-to-Attendance Poll"" template.",,,GoI Standard Swachh Vidyalaya Puraskar (SVP) Self-Assessment format.,"SVP CHECKLIST: [Areas: Water (Safe Drinking), Toilets (Separate for Girls/Boys/CWSN, functionality), Handwashing (Locations near meal area), O&M (Cleaning materials available), Change (Hygiene committees)]. ACTION PLAN: Request annual grant under Samagra Shiksha scheme.",https://swachhvidyalaya.gov.in (Official SBM Guidelines),5,No
School Water Quality Advocacy,"Complexity: High | Time: 2 Weeks | Resources: Water testing kit, school board access, health data.

**The Story**
After students fell ill, youth leaders tested water in 3 schools, found high bacteria, and successfully petitioned the Block Education Officer (BEO) for filtration systems serving 800+ students.

**The Goal**
To get clean water filters installed in schools with unsafe water.

**The Steps**
1. Test the Water: Test tanks for bacteria and TDS. Record results.
2. Check Health: Correlate water check with student stomach illness logs.
3. The Evidence: Combine test results and health numbers into one report.
4. Meeting the Officer: Show the BEO that water is causing school absences.

**What to Say**
""Our tests show high bacterial levels in these schools, which is making students sick. We need to install water filters immediately to protect 800 children.""

**Overcoming Problems**
* The Problem: No budget for filters.
* The Fix: Plan for senior students to help clean tanks if the filter system is provided.
* Safety Tip: Use pro-grade kits and stick to water results, not medical claims.
* Persistence: Visit the BEO every Monday morning until installation is set.

**Success**
Secured filtration systems for 3 schools.","Specific Gap: Exact test markers (TDS, Bacteria, pH) and reporting method is missing. Fix: Provide a ""Water Test Report Card"" template (Safe vs Unsafe).
Specific Gap: BEO appointment channel is missing. Fix: Add a ""BEO Appointment Guide"" (Formal letter vs walk-in).",,,Integrated Water Audit & Advocacy Toolkit,"[TEMPLATE 1: HOME WATER AUDIT] Columns: Date, Source, TDS (ppm), Clarity, Odor. [TEMPLATE 2: RAINWATER POTENTIAL] Yield (L) = Catchment Area (sqm) x Rainfall (mm) x Runoff Coeff. [TEMPLATE 3: GRIEVANCE LETTER] To: Ward Engineer. Sub: Water Quality in [Locality]. [TEMPLATE 4: TDS CALIBRATION] 1. Rinse with distilled water | 2. Dip in 342ppm solution | 3. Calibrate.",Jal Jeevan Mission / CPCB IS 10500 / CSE RWH Guide,5,No
Agricultural Canal Leakage Mapping,"Complexity: Medium | Time: 3 Days | Resources: Map app, farm map, Irrigation Dept. contact.

**The Story**
Young farmers mapped canal leaks. They showed the data to the Irrigation Dept. and fixed breaches, saving crops for 12 families.

**The Goal**
To fix irrigation canal leaks to save farm water.

**The Steps**
1. Find Leaks: Walk the canal bank and pin every leak on a map.
2. Note Damage: Capture photos of the leak vs. parched farms further down.
3. Prepare Map: Digitalize the pins for the department.
4. Meeting the Engineer: Visit the Assistant Engineer (AE) with your map.

**What to Say**
""We mapped 8 big leaks wasting shared water and hurting crops. We have exact locations—can we get a repair team for these spots?""

**Overcoming Problems**
* The Problem: Department says they don't have budget to do the whole canal.
* The Fix: Suggest local farmers help with silt/clearing if department handles masonry.
* Safety Tip: Wear boots and stay away from slippery canal banks.
* Persistence: Visit the AE office every Monday until masonry teams arrive.

**Success**
Repaired 8 leaks and restored flow to 12 farms.","Specific Gap: Coordinate list or digitized map format shared is missing. Fix: Provide a guide on exporting Google Maps Pins to PDF/KML.
Specific Gap: Volunteering safety protocol is missing. Fix: Add a ""Safe Desilting"" checklist for community help.",,,Participatory Irrigation Management (PIM) and WUA Desilting Checklist.,"DESILTING CHECKLIST: [Pre-Work: Silt depth measurement, Structural bank cracks | Work: Removal of weeds, bank reshaping/compaction in 10cm layers | Verification: No depressions, clear berms]. NGO Role: Forming Water User Associations.",https://nwapune.gov.in (Official PIM Manual),3,Yes: High social negotiation required with local Water User Association (WUA) and Sarpanch.
School Air Quality Zoning,"Complexity: High | Time: 4 Weeks | Resources: Air sensor (or truck log), school gate access.

**The Story**
Students proved pollution was 400% higher at school gates due to morning truck traffic. They petitioned police to block heavy trucks near school during start hours.

**The Goal**
To create a ""Clean Air Zone"" during school entry hours.

**The Steps**
1. Toll Count: Count big trucks past school gates (8-9 AM) for 30 days.
2. Health Tracking: Log student coughing spikes during heavy traffic days.
3. The Proof: Graph current commute pollution as a danger zone.
4. Meeting the Police: Show the Traffic Inspector the data evidence.

**What to Say**
""Air at our school gate is toxic (8-9 AM) due to heavy trucks. We request a 60-minute truck restriction to protect 400 students.""

**Overcoming Problems**
* The Problem: ""Trucks need to move, there is no other way.""
* The Fix: Propose an alternate route map one street away.
* Safety Tip: Wear a mask and stay on sidewalks when counting traffic.
* Persistence: Visit the Traffic Committee monthly with updated data.

**Success**
Reduced student pollution exposure by 60%.","Specific Gap: Low-tech data alternative (visual count) is missing. Fix: Provide a ""Truck & Smoke Log"" template.
Specific Gap: Alternate route map details are missing. Fix: Add a ""Neighborhood Traffic Mapping"" activity guide.",,,Urban Planning Low Emission Zone (LEZ) / Traffic Zoning Proposal.,"LEZ PROPOSAL: [Summary: Situation Assessment using citizen sensors | Intervention: Ban heavy vehicles 8-9AM | Infrastructure: Signage, RTO collaboration | Stakeholders: Traffic Police Inspector, PTA]. RE-ROUTING: Mapping 200m buffer zone bypassing school gate.",https://itdp.in (Low Emission Zone Basics),4,Yes: Requires legal/traffic routing expertise to negotiate with Traffic Police.
Waste Audit & Composting Unit,"Complexity: Medium | Time: 1 Week | Resources: Audit checklist, gloves, weighing scale, neighbor list.

**The Story**
Students sorted trash at a dirty dump for 2 days. They proved 70% was organic kitchen waste and installed a composter, clearing the dump and creating fertilizer.

**The Goal**
To eliminate neighborhood dumps by setting up community composting.

**The Steps**
1. Trash Sort: Wear gloves/mask. Sort dump into organic, plastic, paper. Weigh each.
2. Evidence: High volume of organic waste proves needs for composting.
3. The Solution: Identify space for a local compost bin.
4. Meeting the Inspector: Show the Ward Inspector the sort-weight data.

**What to Say**
""70% of this dump is just kitchen waste. A community composter will stop the dumping and make fertilizer. We have 10 households ready!""

**Overcoming Problems**- The Problem: ""Composters smell bad.""
- The Fix: Show images of sealed, odorless Aerobins/Compost units.
- Safety Tip: Use thick gloves and tongs for waste audits.
- Persistence: Check site daily for week one to guide neighbors.","Specific Gap: Dump monitoring frequency/duration details are missing. Fix: Provide a ""48-Hour Dump Diary"" template.
Specific Gap: Community awareness flyer for neighbors is missing. Fix: Create an ""Introduction to Odorless Composting"" flyer.",,,Decentralized Waste Management & Composting SOP,"[TEMPLATE 1: WASTE AUDIT] Columns: Wet Waste (kg), Dry Waste (kg), Reject (kg). [TEMPLATE 2: COMPOST HEALTH LOG] Weekly check: Moisture (Sponge test), Temperature, Odor. [TEMPLATE 3: VENDOR DIRECTORY] Map 3 local Kabadiwalas for PET and Cardboard. [TEMPLATE 4: PETITION] To: Residents Association. Sub: Mandatory Segregation at Source.",SBM-Urban 2.0 / Swachh Bharat Mission Toolkit,5,No
School Energy Audit,"Complexity: Medium | Time: 2 Days | Resources: Bulb count, utility bills, LED prices.

**The Story**
Youth group audited school energy. They proved switching 50 bulbs to LED would save enough money to buy sports gear. Management agreed to reallocation.

**The Goal**
To reduce school electricity bills to fund student welfare projects.

**The Steps**
1. Bulb Count: Map every school light. Note wattage and hours on.
2. Savings Math: Calculate monthly wasted money on old bulbs vs LEDs.
3. The Reallocation: Ask to spend saved money on student needs (sports gear).
4. Meeting Manager: Show the utility bill + the ""Savings-for-Sports"" plan.

**What to Say**
""We waste ₹1,200/month on old lighting. LEDs will pay for themselves in one term; can we use that saved money for our new sports kit?""

**Overcoming Problems**
* The Problem: No upfront budget for 50 LEDs.
* The Fix: Propose a Pilot. Change hallway lights first to prove next month's savings.
* Safety Tip: Never handle electrical fixtures when switched on or hot.
* Persistence: Track bills for 3 months post-upgrade to build trust.

**Success**
Saved ₹1,200/month and secured a new sports budget.","Specific Gap: Energy savings calculator logic is missing. Fix: Provide an ""Energy Meter"" calculator sheet.
Specific Gap: Formal reallocation memo is missing. Fix: Create a ""Savings Reallocation Memo"" template.",,,BEE Guidebook for Energy Management in Schools.,BEE CHECKLIST: [Baseline: 12 months electricity bills | Lighting: Incandescent 60W vs LED 9W savings math | Occupational Behavior: Switch-off timers/sensors | Reallocation Memo: Direct savings to School Welfare Fund].,https://beeindia.gov.in (School Energy Guidebook),5,No
Pothole Safety Campaign,"Complexity: High | Time: 2 Weeks | Resources: Phone, WhatsApp, road maps.

**The Story**
Team Aasmaan tackled dangerous potholes. They created a ""Solve Squad"" for reporting via Instagram/WhatsApp, triggering faster repairs by road departments.

**The Goal**
To get local hazards fixed through clear visual reporting.

**The Steps**
1. Hazard Check: Find dangerous potholes. Take photos with scale (bottle).
2. Map Hazard: Note street name and landmarks.
3. Digital Report: Share photo + location with Councillor via WhatsApp.
4. Meeting Engineer: Visit the Junior Engineer (JE) with a top-5 hazard list.

**What to Say**
""These 5 potholes cause accidents/traffice daily. We have locations and scale photos—can we get a repair team out this week?""

**Overcoming Problems**
* The Problem: ""It's not our road"" (Jurisdiction confusion).
* The Fix: Ask which specific department (PWD vs Municipality) owns it.
* Safety Tip: Never stop in busy traffic; stay on the sidewalk to photograph.
* Persistence: Re-share photos weekly until asphalt is poured.","Specific Gap: Standardized photo scale protocol is missing. Fix: Provide a ""How to Photograph a Hazard"" scalable guide.
Specific Gap: Multi-level escalation contacts are missing. Fix: Include a ""Ward Level Escalation List"" (JE -> AEE -> Councillor).",,,Official Hazard Reporting Protocol (Meri Sadak / 311).,REPORTING PROTOCOL: [Action: Geotagged photo via Puthale/Meri Sadak App | Protocol: Scale photo (shoe/bottle in hole) | Status: Tracking ID storage | Escalation: Tagging Municipal handle on Social Media if unresolved in 72hrs].,https://maharashtra.gov.in (PWD Pothole Protocol),5,No
Sanitary Incinerator Advocacy,"Complexity: High | Time: 3 Weeks | Resources: Plumbing bills, student feedback, vendor quotes.

**The Story**
Students proved 80% of toilet blockages were due to disposal issues. They petitioned the PTA for an incinerator, permanently solving hygiene for 300+ girl students.

**The Goal**
To provide private, hygienic waste disposal in school bathrooms.

**The Steps**
1. Identify Barrier: Track plumbing repair logs for toilet blockages.
2. Student Feedback: Use an anonymous ballot box for sensitive hygiene logs.
3. Solutions Research: Get 3 vendor quotes for low-smoke incinerators.
4. Meeting the PTA: Present the ""Plumbing Cost vs. Incinerator Price"" math.

**What to Say**
""Toilet blockages create health hazards and cost thousands in repairs. One incinerator will solve this and improve dignity for 300 girls.""

**Overcoming Problems**
* The Problem: Topic embarrassment.
* The Fix: Focus on ""Infrastructure maintenance"" and ""Plumbing savings.""
* Safety Tip: Professional electrical installation in a ventilated area.
* Persistence: Request a PTA vote and follow up with the Treasurer.

**Success**
Permanently solved toilet blockages and hygiene dignity.","Specific Gap: Anonymous survey method for sensitive data is missing. Fix: Provide an ""Anonymous Ballot Box"" template.
Specific Gap: ROI/plumbing cost comparison data is missing. Fix: Add a ""Maintenance Savings Calculator"" for the PTA pitch.",,,Maintenance ROI Calculator and PTA Awareness Strategy.,"ROI CALCULATOR: [Annual Plumbing Cost of Blockages vs 1-time Incinerator cost]. SENSITIVITY TRAINING: Guidance on framing the conversation as ""Facility Hygiene and Drainage and Attendance"" rather than just ""Menstruation."" VENDOR LIST: Indian low-smoke portable electric incinerators.",https://swachhvidyalaya.gov.in (Wash in Schools SOPs),4,Yes: Requires social facilitation to handle local cultural taboos during PTA meetings.
